time,ay,ax,az,gy,gx,gz,roll,pitch,yaw,cmd_fx,cmd_fy,cmd_fz,cmd_tx,cmd_ty,cmd_tz,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6
1747543837.727442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543837.8336542,-0.17,-0.41000000000000003,-0.08,-0.001090830782496456,-0.006544984694978736,0.002181661564992912,1.4440780475316792,-0.33053519068001314,-0.3130492487501351,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543837.9180133,-0.17,-0.41000000000000003,-0.08,-0.001090830782496456,-0.006544984694978736,0.002181661564992912,1.4440780475316792,-0.33053519068001314,-0.3130492487501351,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.017055,-0.18,-0.47000000000000003,-0.08,0.011999138607461015,-0.022907446432425576,0.004363323129985824,1.444864306916801,-0.3307259220114433,-0.3149438583779232,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.1079185,-0.07,-0.55,-0.04,-0.007635815477475192,-0.05235987755982989,-0.026179938779914945,1.447135599768874,-0.3301225768948251,-0.3214594417089113,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.2007856,-0.07,-0.55,-0.04,-0.007635815477475192,-0.05235987755982989,-0.026179938779914945,1.447135599768874,-0.3301225768948251,-0.3214594417089113,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.3002973,0.18,-0.05,-0.06,-0.02181661564992912,-0.03490658503988659,-0.02945243112740431,1.4480787684395735,-0.326281401875062,-0.32894650435465006,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.3835835,0.18,-0.05,-0.06,-0.02181661564992912,-0.03490658503988659,-0.02945243112740431,1.4480787684395735,-0.326281401875062,-0.32894650435465006,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.4842296,0.09,0.03,-0.1,-0.018544123302439753,0.00545415391248228,0.013089969389957472,1.4463603789287691,-0.3262819210021625,-0.3313517160511191,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.5760627,-0.02,0.02,0.07,0.002181661564992912,-0.006544984694978736,0.04036073895236887,1.4457974876305093,-0.3313801341141065,-0.33081908456194614,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.6665719,-0.02,0.02,0.07,0.002181661564992912,-0.006544984694978736,0.04036073895236887,1.4457974876305093,-0.3313801341141065,-0.33081908456194614,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.7670898,-0.01,-0.06,0.16,-0.006544984694978736,-0.032724923474893676,0.00545415391248228,1.4452922902475331,-0.3349573120732235,-0.3330207767930728,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.8673193,-0.01,-0.06,0.16,-0.006544984694978736,-0.032724923474893676,0.00545415391248228,1.4452922902475331,-0.3349573120732235,-0.3330207767930728,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543838.968247,0.04,-0.14,0.01,-0.020725784867432664,-0.05781403147231216,-0.011999138607461015,1.445077765425655,-0.33483995743877154,-0.3413682177895269,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543839.0666687,0.09,-0.08,-0.28,-0.011999138607461015,-0.04036073895236887,0.004363323129985824,1.4460972921235142,-0.33623951663205665,-0.34942537956284697,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543839.1504576,0.09,-0.08,-0.28,-0.011999138607461015,-0.04036073895236887,0.004363323129985824,1.4460972921235142,-0.33623951663205665,-0.34942537956284697,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543839.2503514,0.02,0.02,-0.18,-0.003272492347489368,-0.006544984694978736,0.006544984694978736,1.4506260907413995,-0.3382193853602318,-0.3544590410822358,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543839.3505175,0.02,0.02,-0.18,-0.003272492347489368,-0.006544984694978736,0.006544984694978736,1.4506260907413995,-0.3382193853602318,-0.3544590410822358,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543839.4370334,0.01,0.06,0.06,0.004363323129985824,0.001090830782496456,-0.00545415391248228,1.4512309006728492,-0.3383920809817121,-0.354640418391448,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543839.5348592,0.05,-0.03,0.24,-0.00545415391248228,-0.009817477042468103,-0.007635815477475192,1.4496464140962964,-0.33804816917250247,-0.3541303123084184,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543839.6178503,0.05,-0.03,0.24,-0.00545415391248228,-0.009817477042468103,-0.007635815477475192,1.4496464140962964,-0.33804816917250247,-0.3541303123084184,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543839.717338,0.05,-0.09,-0.06,-0.019634954084936207,-0.04581489286485115,0.01090830782496456,1.4482979215367644,-0.33927513718582814,-0.3588787380447883,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543839.8202422,0.05,-0.09,-0.06,-0.019634954084936207,-0.04581489286485115,0.01090830782496456,1.4482979215367644,-0.33927513718582814,-0.3588787380447883,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543839.9169426,0.02,-0.09,-0.13,-0.01090830782496456,-0.038179077387375956,0.007635815477475192,1.448061256449141,-0.34216650538463067,-0.36581385758437135,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543840.0190864,0.0,-0.05,0.0,0.015271630954950384,-0.022907446432425576,-0.007635815477475192,1.4504853916327072,-0.34302553815583,-0.3708315563791586,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543840.1168227,0.0,-0.05,0.0,0.015271630954950384,-0.022907446432425576,-0.007635815477475192,1.4504853916327072,-0.34302553815583,-0.3708315563791586,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543840.2171686,-0.01,0.01,0.06,-0.00545415391248228,-0.022907446432425576,-0.01090830782496456,1.4526714549047026,-0.34189761779482863,-0.37461812971929886,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543840.3170094,0.0,0.0,0.01,-0.020725784867432664,-0.028361600344907856,-0.008726646259971648,1.4514902339225615,-0.34153912520954366,-0.3788222956378456,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543840.4003808,0.0,0.0,0.01,-0.020725784867432664,-0.028361600344907856,-0.008726646259971648,1.4514902339225615,-0.34153912520954366,-0.3788222956378456,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543840.5010982,0.02,-0.1,-0.04,0.003272492347489368,-0.016362461737446838,-0.019634954084936207,1.451613268827939,-0.34034124148122613,-0.38236696521057034,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543840.601238,0.02,-0.1,-0.04,0.003272492347489368,-0.016362461737446838,-0.019634954084936207,1.451613268827939,-0.34034124148122613,-0.38236696521057034,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747543840.7004626,0.08,-0.1,-0.07,0.002181661564992912,-0.018544123302439753,-0.0272707695624114,1.453092166217361,-0.3371450298863423,-0.3851021159252267,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
