time,ay,ax,az,gy,gx,gz,roll,pitch,yaw,cmd_fx,cmd_fy,cmd_fz,cmd_tx,cmd_ty,cmd_tz,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6
1747549480.5072408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549480.6062431,0.01,0.03,-0.34,0.001090830782496456,0.002181661564992912,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549480.7068784,0.01,0.03,-0.34,0.001090830782496456,0.002181661564992912,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549480.7883744,0.02,-0.01,-0.37,-0.001090830782496456,-0.002181661564992912,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549480.8898458,0.02,-0.01,-0.37,-0.001090830782496456,-0.002181661564992912,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549480.9898539,0.03,0.02,-0.35000000000000003,-0.003272492347489368,-0.003272492347489368,0.003272492347489368,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549481.0730128,0.0,-0.01,-0.28,-0.001090830782496456,-0.004363323129985824,-0.002181661564992912,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549481.1730704,0.0,-0.01,-0.28,-0.001090830782496456,-0.004363323129985824,-0.002181661564992912,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549481.2737477,0.01,0.0,-0.35000000000000003,0.001090830782496456,0.001090830782496456,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549481.3731694,,,,0.0,0.0,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549481.4733496,,,,0.0,0.0,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549481.5566378,0.04,0.0,-0.4,-0.003272492347489368,-0.002181661564992912,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549481.6567318,0.04,0.0,-0.4,-0.003272492347489368,-0.002181661564992912,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549481.755909,0.02,0.01,-0.32,0.001090830782496456,-0.001090830782496456,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549481.8399825,0.02,0.01,-0.32,0.001090830782496456,-0.001090830782496456,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549481.9395103,0.02,-0.04,-0.37,-0.002181661564992912,0.003272492347489368,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549482.0396492,0.01,0.01,-0.35000000000000003,0.001090830782496456,-0.002181661564992912,0.002181661564992912,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549482.1399508,0.01,0.01,-0.35000000000000003,0.001090830782496456,-0.002181661564992912,0.002181661564992912,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549482.2397907,0.02,0.0,-0.34,-0.003272492347489368,-0.003272492347489368,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549482.3225462,0.01,0.0,-0.33,-0.001090830782496456,-0.002181661564992912,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549482.4231033,0.01,0.0,-0.33,-0.001090830782496456,-0.002181661564992912,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549482.52321,0.03,0.0,-0.36,-0.001090830782496456,-0.001090830782496456,-0.002181661564992912,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549482.6226838,0.03,0.0,-0.36,-0.001090830782496456,-0.001090830782496456,-0.002181661564992912,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549482.7231944,0.02,0.02,-0.33,0.002181661564992912,0.002181661564992912,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549482.8071024,0.01,0.0,-0.3,0.001090830782496456,-0.002181661564992912,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549482.9066708,0.01,0.0,-0.3,0.001090830782496456,-0.002181661564992912,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.0062168,0.02,-0.01,-0.35000000000000003,-0.002181661564992912,-0.002181661564992912,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.089995,0.02,-0.01,-0.35000000000000003,-0.002181661564992912,-0.002181661564992912,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.1888268,0.0,-0.01,-0.29,-0.001090830782496456,-0.001090830782496456,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.289235,0.03,0.01,-0.39,0.002181661564992912,0.0,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.3898597,0.03,0.01,-0.39,0.002181661564992912,0.0,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.4896579,0.02,0.0,-0.37,-0.001090830782496456,0.0,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.5735202,0.02,0.0,-0.37,-0.001090830782496456,0.0,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.6729274,0.02,-0.02,-0.3,-0.001090830782496456,0.002181661564992912,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.772938,0.03,0.03,-0.39,-0.004363323129985824,-0.002181661564992912,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.872365,0.03,0.03,-0.39,-0.004363323129985824,-0.002181661564992912,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549483.9733043,0.03,-0.01,-0.32,0.0,0.00545415391248228,0.002181661564992912,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-0.722657,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549484.0564926,0.03,-0.01,-0.32,0.0,0.00545415391248228,0.002181661564992912,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-1.238321,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549484.1566956,0.02,0.02,-0.32,0.001090830782496456,-0.001090830782496456,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-1.304137,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549484.255718,0.01,-0.01,-0.28,0.0,0.001090830782496456,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-1.304137,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549484.3399816,0.01,-0.01,-0.28,0.0,0.001090830782496456,0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-1.304137,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549484.439051,0.02,-0.02,-0.33,0.001090830782496456,-0.003272492347489368,0.003272492347489368,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-2.314819,0,0,0,0,1540,1540,1500,1500,1500,1500
1747549484.527554,0.02,0.0,-0.3,0.001090830782496456,0.002181661564992912,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-5.887076,0,0,0,0,1555,1554,1540,1500,1500,1500
1747549484.623271,0.02,0.0,-0.3,0.001090830782496456,0.002181661564992912,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-6.029575,0,0,0,0,1556,1555,1549,1500,1500,1500
1747549484.7229686,0.03,0.0,-0.35000000000000003,-0.001090830782496456,0.001090830782496456,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-11.292264,0,0,0,0,1574,1573,1564,1500,1500,1500
1747549484.8064635,0.03,0.0,-0.35000000000000003,-0.001090830782496456,0.001090830782496456,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-12.5,0,0,0,0,1577,1576,1567,1500,1500,1500
1747549484.9066536,0.03,0.0,-0.31,0.003272492347489368,0.002181661564992912,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-10.521188,0,0,0,0,1572,1570,1562,1500,1500,1500
1747549485.006495,0.03,0.0,-0.31,0.003272492347489368,0.002181661564992912,-0.001090830782496456,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-12.090605,0,0,0,0,1576,1575,1566,1500,1500,1500
1747549485.0897748,0.02,0.0,-0.3,0.0,0.001090830782496456,0.0,-0.007352179700141735,0.10074928123616199,-0.0003706834776309099,0,-12.5,0,0,0,0,1577,1576,1567,1500,1500,1500
