time,ay,ax,az,gy,gx,gz,roll,pitch,yaw,cmd_fx,cmd_fy,cmd_fz,cmd_tx,cmd_ty,cmd_tz,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6
1747549696.908241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549696.9988031,0.0,0.0,-0.37,0.001090830782496456,-0.002181661564992912,-0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549697.1002934,0.0,0.0,-0.37,0.001090830782496456,-0.002181661564992912,-0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549697.183283,0.03,0.0,-0.29,-0.002181661564992912,0.004363323129985824,0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549697.282989,0.03,0.0,-0.29,-0.002181661564992912,0.004363323129985824,0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549697.3826957,0.02,0.0,-0.36,-0.001090830782496456,-0.003272492347489368,-0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549697.4825597,0.03,0.02,-0.29,0.002181661564992912,0.0,0.0,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549697.582541,0.03,0.02,-0.29,0.002181661564992912,0.0,0.0,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549697.6656437,0.05,0.02,-0.4,-0.001090830782496456,-0.004363323129985824,0.003272492347489368,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549697.7610996,0.01,0.02,-0.31,0.001090830782496456,-0.002181661564992912,0.002181661564992912,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549697.8658948,0.01,0.02,-0.31,0.001090830782496456,-0.002181661564992912,0.002181661564992912,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549697.9489832,0.02,0.02,-0.37,-0.002181661564992912,0.0,-0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549698.0497649,0.02,0.02,-0.37,-0.002181661564992912,0.0,-0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549698.149145,0.01,0.01,-0.31,-0.001090830782496456,-0.002181661564992912,-0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549698.2498882,0.04,0.0,-0.32,0.001090830782496456,-0.001090830782496456,-0.002181661564992912,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549698.3503122,0.04,0.0,-0.32,0.001090830782496456,-0.001090830782496456,-0.002181661564992912,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549698.4321957,0.01,0.02,-0.31,-0.001090830782496456,-0.002181661564992912,-0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549698.5343533,0.01,0.02,-0.31,-0.001090830782496456,-0.002181661564992912,-0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549698.6330836,0.05,0.0,-0.35000000000000003,-0.003272492347489368,-0.004363323129985824,0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549698.733045,0.01,0.02,-0.38,0.0,0.001090830782496456,0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,-10.521188,0,0,0,0,1460,1460,1460,1500,1500,1500
1747549698.8332572,0.01,0.02,-0.38,0.0,0.001090830782496456,0.001090830782496456,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,-12.5,0,0,0,0,1420,1420,1420,1500,1500,1500
1747549698.916916,0.01,0.0,-0.3,-0.002181661564992912,0.002181661564992912,0.0,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,-12.5,0,0,0,0,1380,1380,1380,1500,1500,1500
1747549699.0174806,0.01,0.0,-0.3,-0.002181661564992912,0.002181661564992912,0.0,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,-12.5,0,0,0,0,1344,1347,1371,1500,1500,1500
1747549699.117059,-0.22,0.0,-0.41000000000000003,0.006544984694978736,0.004363323129985824,-0.006544984694978736,-0.008455449947808625,0.10123943426444701,-0.0004283740573875301,0,-12.5,0,0,0,0,1344,1347,1371,1500,1500,1500
1747549699.215696,-0.04,0.01,-0.3,0.003272492347489368,-0.002181661564992912,0.002181661564992912,-0.009190726184506781,0.10123943426444701,-0.00046562397025259243,0,-12.5,0,0,0,0,1344,1347,1371,1500,1500,1500
1747549699.3162177,-0.04,0.01,-0.3,0.003272492347489368,-0.002181661564992912,0.002181661564992912,-0.009190726184506781,0.10123943426444701,-0.00046562397025259243,0,-12.5,0,0,0,0,1344,1347,1371,1500,1500,1500
1747549699.3995278,0.11,-0.03,-0.41000000000000003,-0.001090830782496456,0.003272492347489368,0.002181661564992912,-0.009190726184506781,0.10123943426444701,-0.00046562397025259243,0,-12.5,0,0,0,0,1344,1347,1371,1500,1500,1500
1747549699.5001369,0.11,-0.03,-0.41000000000000003,-0.001090830782496456,0.003272492347489368,0.002181661564992912,-0.009190726184506781,0.10123943426444701,-0.00046562397025259243,0,-12.5,0,0,0,0,1344,1347,1371,1500,1500,1500
1747549699.5997784,0.04,0.0,-0.28,-0.003272492347489368,0.0,0.003272492347489368,-0.009190726184506781,0.10123943426444701,-0.00046562397025259243,0,0,0,0,0,0,1384,1387,1411,1500,1500,1500
1747549699.6826372,-0.01,0.13,-0.34,0.0,0.004363323129985824,0.001090830782496456,-0.009068179813366559,0.10123943426444701,-0.0004594156515286903,0,0,0,0,0,0,1424,1427,1451,1500,1500,1500
1747549699.7824059,-0.01,0.13,-0.34,0.0,0.004363323129985824,0.001090830782496456,-0.009068179813366559,0.10123943426444701,-0.0004594156515286903,0,0,0,0,0,0,1464,1467,1491,1500,1500,1500
1747549699.8819141,0.32,-0.05,-0.32,0.0,-0.001090830782496456,0.001090830782496456,-0.009558484880871044,0.10136197633043652,-0.00048483908603775216,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549699.9657521,0.32,-0.05,-0.32,0.0,-0.001090830782496456,0.001090830782496456,-0.009558484880871044,0.10136197633043652,-0.00048483908603775216,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747549700.0652525,0.05,-0.2,-0.23,-0.003272492347489368,0.0,0.0,-0.009313388401636221,0.10136197633043652,-0.00047240731647481125,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
