time,ay,ax,az,gy,gx,gz,roll,pitch,yaw,cmd_fx,cmd_fy,cmd_fz,cmd_tx,cmd_ty,cmd_tz,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6
1747553154.5322962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747553154.6299815,0.04,0.0,-0.28,0.0,-0.001090830782496456,0.001090830782496456,-0.01849017698181941,0.09048366545546827,-0.000837077178360741,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747553154.7144709,0.04,0.0,-0.28,0.0,-0.001090830782496456,0.001090830782496456,-0.01849017698181941,0.09048366545546827,-0.000837077178360741,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747553154.8132887,0.03,0.02,-0.39,0.001090830782496456,0.0,0.0,-0.01849017698181941,0.09048366545546827,-0.000837077178360741,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747553154.9128215,0.03,0.02,-0.39,0.001090830782496456,0.0,0.0,-0.01849017698181941,0.09048366545546827,-0.000837077178360741,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747553154.9971356,0.04,-0.01,-0.32,-0.004363323129985824,-0.00545415391248228,0.0,-0.01849017698181941,0.09048366545546827,-0.000837077178360741,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747553155.0972736,0.06,0.0,-0.36,-0.003272492347489368,-0.001090830782496456,0.001090830782496456,-0.01849017698181941,0.09048366545546827,-0.000837077178360741,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747553155.17924,0.06,0.0,-0.36,-0.003272492347489368,-0.001090830782496456,0.001090830782496456,-0.01849017698181941,0.09048366545546827,-0.000837077178360741,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747553155.2803502,0.05,0.0,-0.31,0.003272492347489368,-0.001090830782496456,0.0,-0.01849017698181941,0.09048366545546827,-0.000837077178360741,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747553155.380258,0.05,0.0,-0.31,0.003272492347489368,-0.001090830782496456,0.0,-0.01849017698181941,0.09048366545546827,-0.000837077178360741,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1747553155.4638429,0.02,0.0,-0.37,-0.001090830782496456,-0.004363323129985824,0.001090830782496456,-0.01849017698181941,0.09048366545546827,-0.000837077178360741,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
