time,ay,ax,az,gy,gx,gz,roll,pitch,yaw,cmd_fx,cmd_fy,cmd_fz,cmd_tx,cmd_ty,cmd_tz,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6
1748735082.203567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1500,1500,1500,1500
1748735082.3107195,0.0,0.0,0.0,-0.002181661564992912,0.002181661564992912,0.001090830782496456,0.005859526194737495,0.72700939228268,1.6114136726757282,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1500,1500,1500,1500
1748735082.4183872,0.01,-0.01,0.04,0.002181661564992912,0.004363323129985824,0.003272492347489368,0.005859526194737495,0.72700939228268,1.6114136726757282,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1500,1500,1500,1500
1748735082.5295007,0.01,-0.01,0.04,0.002181661564992912,0.004363323129985824,0.003272492347489368,0.005859526194737495,0.72700939228268,1.6114136726757282,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1500,1500,1500,1500
1748735082.6357942,0.01,-0.05,0.04,0.002181661564992912,-0.002181661564992912,-0.001090830782496456,0.005859526194737495,0.72700939228268,1.6114136726757282,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1500,1500,1500,1500
1748735082.7374394,0.01,-0.02,0.03,0.001090830782496456,0.0,-0.001090830782496456,0.005859526194737495,0.72700939228268,1.6114136726757282,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1500,1500,1500,1500
1748735082.8543997,0.01,-0.02,0.03,0.001090830782496456,0.0,-0.001090830782496456,0.005859526194737495,0.72700939228268,1.6114136726757282,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1500,1500,1500,1500
1748735082.9670577,0.01,0.0,0.0,-0.001090830782496456,0.003272492347489368,-0.003272492347489368,0.005859526194737495,0.72700939228268,1.6114136726757282,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1500,1500,1500,1500
1748735083.058354,0.01,0.0,0.0,-0.003272492347489368,0.003272492347489368,0.001090830782496456,0.005859526194737495,0.72700939228268,1.6114136726757282,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1500,1500,1500,1500
1748735083.1638088,0.01,0.0,0.0,-0.003272492347489368,0.003272492347489368,0.001090830782496456,0.005859526194737495,0.72700939228268,1.6114136726757282,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,1500,1500,1500,1500
